Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS0666,05-Sep-91,Burrastow,HU227477,Shetland,Yes,Burrastow Shorebase,Walls,,ZE2 9PD,,Fish,Seawater,Medium,422700,1147700,"3b - Gruting, Vaila, Walls",Shetland,Cooke Aquaculture Scotland Ltd,"N/A, Atlantic Salmon, Wrasse, Lumpsucker"
SS0671,23-May-02,Busta Voe,HU347662,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Medium,434700,1166200,4a - South St Magnus Bay,Shetland,Blueshell Mussels Ltd,"Common mussel, N/A"
FS0252,01-Nov-91,Cairidh,NG554286,Highland,Yes,"Caol Mhor, Maol Ban",Sconser,,IV48 8TD,,Fish,Seawater,Medium,155400,828600,"11b - Sound of Raasay, Ainort, Scalpay",Highland,Mowi Scotland Ltd,"Wrasse, Lumpsucker, N/A, Atlantic Salmon"
FS0323,29-Apr-98,Cairndow Hatchery,NN179107,Argyll and Bute,Yes,Ardkinglas Estate,,,PA26 8BH,,Fish,Freshwater,Medium,217900,710700,Not in a management area,Strathclyde,Cooke Aquaculture (Freshwater) Ltd,"N/A, Atlantic Salmon"
FS0068,01-Jun-94,Calva Bay (Calbha Beag),NC156371,Highland,Yes,Badcall Salmon House,"Scourie, Lairg",Sutherland,IV27 4TH,,Fish,Seawater,Low,215600,937100,"9c - Badcall, Chairn Bhain, Eddrachillis",Highland,Loch Duart Ltd,"N/A, Lumpsucker, Atlantic Salmon, Wrasse"
FS0413,01-Jan-88,Camas Glas,NM646589,Highland,Yes,Glenborrodale,Highland,Highland,PH36 4JP,,Fish,Seawater,Medium,164600,758900,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Mowi Scotland Ltd,"Wrasse, Lumpsucker, Atlantic Salmon, N/A"
SS0818,26-Apr-10,Camas a Chuilinn,NN048693,Highland,Yes,Garvan Glen,Garvan,,PH33 7AW,,Shellfish,Seawater,Low,204800,769300,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Highland,Fass Fern Mussels,"N/A, Common mussel"
FS0049,20-Jun-91,Camas an Eilean,NG756582,Highland,No,N/A,,,,,Fish,Seawater,Medium,175600,858200,Not in a management area,Highland,Bakkafrost Scotland,"Atlantic Salmon, N/A"
FS0014,20-Aug-97,Camas na Gall (Loch Hourn),NG884067,Highland,No,N/A,,,,,Fish,Seawater,,188400,806700,,Highland,Mowi Scotland Ltd,"N/A, Atlantic Salmon"
SS0633,09-Apr-01,Camb,HU511919,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,451100,1191900,"1b - S Unst, E Yell, Fetlar",Shetland,Seafield Mussels Ltd,"N/A, Common mussel"
SS0656,07-Mar-02,Camus An Fhiasgain,NM723799,Highland,Yes,Roshven,Lochailort,Lochaber,-,,Shellfish,Seawater,Low,172300,779900,15c - Ailort,Highland,Arisaig Mussels,"N/A, Common mussel"
FS1291,05-Nov-14,Caolas A Deas,NB362100,Western Isles,Yes,Lemreway Pier,South Lochs,,HS2 9RD,,Fish,Seawater,High,136200,910000,5a - E Lewis,Western Isles,Mowi Scotland Ltd,"Lumpsucker, Atlantic Salmon, Wrasse, N/A"
FS0311,02-Mar-92,Cargenglen,NX925754,Dumfries and Galloway,No,N/A,,,,,Fish,Freshwater,Low,292500,575400,Not in a management area,Dumfries & Galloway,Invicta Trout Ltd,"Rainbow Trout, N/A"
FS0757,01-Jun-93,Carnassarie Hatchery,NM843012,Argyll and Bute,No,Kilmelford,,Argyll,PA34 4XA,,Fish,Freshwater,Low,184300,701200,Not in a management area,Strathclyde,Mowi Scotland Ltd,"Atlantic Salmon, N/A"
